"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,10,14,"B",490461,3.92134,0.01446,0.0622,0.0236,0.07914,0.07025,0.15877,0.04523,0.06075,0.18811,0.09884,0.07044,0.11672,0.00152,0.00997
"World",2001,10,14,"B",480748,3.84111,0.0183,0.06267,0.02389,0.07966,0.07356,0.157,0.04406,0.06152,0.18306,0.09611,0.06999,0.12019,0.00533,0.00464
"World",2002,10,14,"B",471296,3.78685,0.02177,0.06339,0.02434,0.07875,0.07442,0.15576,0.04306,0.06253,0.17963,0.09435,0.06962,0.12466,0.00151,0.00621
"World",2003,10,14,"B",467766,3.7962,0.02508,0.06338,0.02428,0.07549,0.07591,0.15153,0.04133,0.06184,0.17528,0.09073,0.06826,0.12625,0.00718,0.01347
"World",2004,10,14,"B",475246,3.89765,0.02795,0.0618,0.02316,0.07026,0.07572,0.14352,0.03853,0.05968,0.16634,0.08546,0.06503,0.12428,0.04664,0.0116
"World",2005,10,14,"B",448477,3.70642,0.03248,0.06494,0.02378,0.07047,0.07868,0.14771,0.03907,0.06156,0.17227,0.08717,0.06648,0.13057,0.01292,0.01192
"World",2006,10,14,"B",444052,3.68919,0.03511,0.06542,0.02363,0.0684,0.07879,0.14689,0.03918,0.06167,0.17429,0.08528,0.06641,0.13265,0.00316,0.01913
"World",2007,10,14,"B",436248,3.63187,0.03754,0.0653,0.02381,0.06576,0.08003,0.14647,0.03932,0.06213,0.17636,0.0833,0.0666,0.13372,0.00262,0.01704
"World",2008,10,14,"B",444175,3.69488,0.03807,0.06315,0.02258,0.06096,0.07872,0.14025,0.03766,0.05772,0.17016,0.07574,0.06264,0.12809,0.05324,0.01103
"World",2009,10,14,"B",419539,3.48356,0.04088,0.06665,0.02363,0.06074,0.0858,0.14493,0.03884,0.06264,0.1795,0.081,0.06701,0.13621,0.00139,0.01078
"World",2010,10,14,"B",428281,3.54807,0.04023,0.0632,0.0227,0.05732,0.08393,0.13946,0.03668,0.06029,0.17208,0.07633,0.06462,0.13356,0.04289,0.00669
"World",2011,10,14,"B",404287,3.34303,0.04237,0.06613,0.0236,0.05984,0.08493,0.14663,0.03733,0.06301,0.17667,0.07756,0.06695,0.143,0.00196,0.01002
"World",2012,10,14,"B",402442,3.31831,0.04208,0.06526,0.02316,0.05979,0.08114,0.14716,0.03558,0.06325,0.17182,0.07475,0.06591,0.14491,0.00098,0.02421
"World",2013,10,14,"B",399066,3.2787,0.04121,0.06497,0.02305,0.05938,0.07905,0.14907,0.03414,0.0637,0.16825,0.07218,0.06436,0.14644,0.00182,0.03239
"World",2014,10,14,"B",396835,3.2456,0.03973,0.0637,0.02297,0.05821,0.07742,0.1535,0.03254,0.06455,0.16321,0.06948,0.06294,0.14762,0.0013,0.04286
"World",2015,10,14,"B",389257,3.16563,0.03936,0.06387,0.0229,0.05791,0.08087,0.1564,0.0314,0.06584,0.15997,0.06835,0.06239,0.15061,0.00248,0.03766
"World",2016,10,14,"B",383665,3.09847,0.03818,0.06414,0.02236,0.0568,0.08494,0.159,0.03025,0.06739,0.15794,0.06649,0.06163,0.15309,0.00116,0.03663
