"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","Maternal","HIV","TB","OtherCMPN","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,15,19,"F",334080,6.03634,0.05402,0.0151,0.10625,0.1613,0.07737,0.06262,0.06413,0.15407,0.02723,0.11072,0.02013,0.05896,0.07711,0.00096,0.01002
"World",2001,15,19,"F",330134,5.8467,0.05369,0.01704,0.10566,0.15337,0.07728,0.06258,0.06582,0.15775,0.0278,0.11312,0.02038,0.05974,0.0775,0.00284,0.00543
"World",2002,15,19,"F",327296,5.66779,0.05341,0.0189,0.10473,0.14577,0.07639,0.06247,0.06697,0.16114,0.02859,0.11499,0.02063,0.06111,0.07808,0.00089,0.00595
"World",2003,15,19,"F",327063,5.54253,0.05277,0.02098,0.10237,0.13898,0.07536,0.06173,0.06733,0.16277,0.02818,0.11624,0.02059,0.06113,0.07794,0.00404,0.00959
"World",2004,15,19,"F",330163,5.50482,0.05124,0.02253,0.09772,0.13237,0.07287,0.06006,0.06719,0.16068,0.02784,0.11493,0.02026,0.0604,0.07699,0.02624,0.00868
"World",2005,15,19,"F",317633,5.25126,0.05233,0.02431,0.0968,0.13313,0.07407,0.0611,0.06859,0.16579,0.02903,0.11854,0.02083,0.06336,0.0793,0.00568,0.00716
"World",2006,15,19,"F",313013,5.17297,0.05233,0.02495,0.09293,0.13162,0.07449,0.06118,0.06861,0.16727,0.02954,0.11963,0.02053,0.06403,0.07934,0.00185,0.0117
"World",2007,15,19,"F",305648,5.08825,0.05277,0.02562,0.09092,0.12871,0.07432,0.06101,0.06892,0.16887,0.03022,0.12145,0.02008,0.06545,0.08011,0.00143,0.01014
"World",2008,15,19,"F",304348,5.12691,0.0521,0.02555,0.085,0.12527,0.07188,0.05935,0.06581,0.1646,0.03049,0.1201,0.01845,0.06229,0.07761,0.03366,0.00784
"World",2009,15,19,"F",290372,4.94752,0.05377,0.02638,0.08419,0.12725,0.07422,0.05975,0.06942,0.17143,0.03328,0.12517,0.01913,0.06645,0.08031,0.00075,0.00852
"World",2010,15,19,"F",289469,4.97024,0.05253,0.02636,0.08029,0.12113,0.07239,0.05767,0.06857,0.16867,0.03425,0.12343,0.01892,0.06621,0.07861,0.02562,0.00535
"World",2011,15,19,"F",276107,4.76547,0.05359,0.02743,0.08036,0.12099,0.07323,0.05818,0.07106,0.17435,0.03688,0.12836,0.01959,0.06796,0.07964,0.00137,0.007
