"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","Measles","Maternal","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,5,19,"B",2121733,17.60331,0.02721,0.00851,0.01619,0.03871,0.0587,0.0682,0.05479,0.1495,0.00901,0.02416,0.04794,0.05082,0.1442,0.02619,0.03238,0.06194,0.07652,0.09536,0.00107,0.00859
"World",2001,5,19,"B",2078253,17.1257,0.02853,0.00853,0.0186,0.03846,0.05955,0.06845,0.05651,0.14578,0.009,0.02443,0.04762,0.05156,0.14173,0.02695,0.03325,0.06066,0.07695,0.09532,0.00355,0.00457
"World",2002,5,19,"B",2030301,16.60808,0.02456,0.00861,0.02083,0.03843,0.0607,0.06829,0.05693,0.14332,0.00918,0.02473,0.04754,0.0526,0.14092,0.02756,0.03412,0.06046,0.07796,0.09668,0.00109,0.0055
"World",2003,5,19,"B",2018095,16.38565,0.0267,0.00855,0.0227,0.03786,0.06023,0.06595,0.0574,0.1389,0.0093,0.02471,0.04639,0.05267,0.13858,0.02735,0.03455,0.05911,0.07729,0.09631,0.00514,0.0103
"World",2004,5,19,"B",2031796,16.39089,0.02557,0.00833,0.02411,0.03692,0.05801,0.06233,0.057,0.13311,0.00924,0.02415,0.04438,0.05191,0.13409,0.0266,0.03435,0.05733,0.07556,0.09457,0.03328,0.00919
"World",2005,5,19,"B",1931385,15.54066,0.02413,0.0086,0.02648,0.03816,0.05891,0.06229,0.05776,0.13603,0.00964,0.02511,0.04504,0.05356,0.13841,0.02797,0.03565,0.05879,0.07794,0.09792,0.00877,0.00884
"World",2006,5,19,"B",1899912,15.28862,0.02257,0.00862,0.02757,0.03852,0.05791,0.06094,0.05742,0.13578,0.00983,0.02551,0.04485,0.05389,0.13964,0.02849,0.03595,0.05843,0.07872,0.09886,0.00225,0.01424
"World",2007,5,19,"B",1840410,14.85102,0.01356,0.00876,0.02868,0.03879,0.05842,0.05981,0.05832,0.13647,0.01021,0.0258,0.04504,0.05487,0.14174,0.02926,0.03663,0.05834,0.07997,0.1005,0.002,0.0128
"World",2008,5,19,"B",1849359,14.99646,0.01426,0.00857,0.02841,0.03792,0.05552,0.05662,0.05666,0.13274,0.01013,0.02499,0.04323,0.05243,0.13719,0.02947,0.03594,0.05439,0.07543,0.09618,0.04109,0.00883
"World",2009,5,19,"B",1759367,14.2884,0.01861,0.00887,0.02943,0.03968,0.05637,0.05637,0.05958,0.13656,0.01098,0.02601,0.04379,0.05596,0.14184,0.0317,0.0376,0.05784,0.07912,0.0997,0.00106,0.00893
"World",2010,5,19,"B",1758590,14.30148,0.01347,0.00865,0.02896,0.03818,0.05464,0.05394,0.05847,0.13317,0.01085,0.02539,0.04216,0.0554,0.13834,0.03212,0.03702,0.05628,0.07725,0.09781,0.03199,0.00591
"World",2011,5,19,"B",1674025,13.61274,0.01622,0.00884,0.02995,0.03928,0.05561,0.0549,0.05833,0.13686,0.01126,0.02605,0.0428,0.05744,0.14187,0.0338,0.03874,0.05737,0.07952,0.10114,0.00154,0.00847
"World",2012,5,19,"B",1646055,13.36238,0.01092,0.00869,0.03001,0.03905,0.05474,0.05424,0.05636,0.13672,0.01128,0.02604,0.04194,0.05808,0.14132,0.03412,0.03903,0.05646,0.07923,0.10181,0.00073,0.01921
"World",2013,5,19,"B",1624363,13.14289,0.01045,0.00856,0.02943,0.03898,0.05376,0.05314,0.0544,0.13719,0.01123,0.02589,0.04102,0.05865,0.14087,0.03421,0.0391,0.05536,0.07823,0.102,0.00145,0.02607
"World",2014,5,19,"B",1612034,12.99255,0.01211,0.00841,0.02837,0.03818,0.05293,0.05158,0.05237,0.13828,0.01119,0.0257,0.0398,0.0591,0.13986,0.03425,0.03912,0.05396,0.07763,0.10115,0.00087,0.03514
"World",2015,5,19,"B",1578611,12.67235,0.01207,0.00836,0.02765,0.03827,0.05187,0.05073,0.0534,0.13945,0.0113,0.02581,0.03931,0.06024,0.14046,0.03474,0.03985,0.05368,0.07756,0.10179,0.00191,0.03155
"World",2016,5,19,"B",1552694,12.40652,0.01159,0.00826,0.02665,0.03853,0.05073,0.04972,0.05477,0.1411,0.01146,0.02583,0.0386,0.06111,0.14178,0.03542,0.04034,0.05312,0.0775,0.10179,0.00097,0.03072
"World",2017,5,19,"B",1523207,12.1145,0.00971,0.00825,0.02567,0.03873,0.0502,0.04936,0.05555,0.14274,0.0117,0.02592,0.03829,0.06221,0.14321,0.03633,0.04131,0.05267,0.07739,0.10321,0.00121,0.02633
"World",2018,5,19,"B",1500612,11.87336,0.01335,0.00824,0.0242,0.03953,0.04889,0.0494,0.05463,0.14612,0.0118,0.02606,0.03817,0.06342,0.14444,0.03612,0.04148,0.05256,0.07805,0.10408,0.00159,0.01789
"World",2019,5,19,"B",1480227,11.64969,0.0147,0.00822,0.02265,0.03978,0.04785,0.0491,0.05507,0.14766,0.01186,0.0261,0.03805,0.06445,0.1459,0.03617,0.04182,0.05233,0.07826,0.10514,0.00067,0.01421
"East Asia and Pacific",2000,5,19,"B",351813,9.74942,0.01678,0.00586,0.00222,0.02347,0.05419,0.02769,0.00271,0.09079,0.01435,0.02645,0.03515,0.09865,0.16387,0.02533,0.03902,0.12981,0.12352,0.11603,0.003,0.00112
"East Asia and Pacific",2001,5,19,"B",338081,9.38117,0.01814,0.00597,0.00306,0.02281,0.05468,0.02718,0.00243,0.08897,0.01372,0.02716,0.03548,0.09957,0.16457,0.02663,0.0404,0.1261,0.12346,0.11611,0.00273,0.00082
"East Asia and Pacific",2002,5,19,"B",324349,8.96925,0.01391,0.00617,0.00353,0.02206,0.05485,0.02636,0.00243,0.08855,0.01345,0.02813,0.03553,0.10109,0.16522,0.02766,0.0422,0.12326,0.12488,0.11681,0.00261,0.00129
"East Asia and Pacific",2003,5,19,"B",312770,8.60265,0.01372,0.00627,0.00361,0.02107,0.05524,0.02518,0.00252,0.08781,0.01331,0.02878,0.03544,0.10207,0.16449,0.02872,0.04418,0.12015,0.12606,0.11771,0.00237,0.00129
"East Asia and Pacific",2004,5,19,"B",350751,9.62441,0.01441,0.00547,0.00325,0.01796,0.04696,0.02102,0.00215,0.0746,0.01136,0.02508,0.03005,0.08804,0.14065,0.02515,0.03872,0.10145,0.10804,0.10067,0.14454,0.00043
"East Asia and Pacific",2005,5,19,"B",290169,8.01766,0.02146,0.00634,0.00417,0.02046,0.05548,0.02339,0.00269,0.08412,0.01279,0.0306,0.03448,0.10073,0.16473,0.03047,0.04478,0.11539,0.12662,0.11684,0.00313,0.00135
"East Asia and Pacific",2006,5,19,"B",276655,7.76496,0.02603,0.00623,0.00417,0.01966,0.05519,0.02229,0.00242,0.08127,0.01266,0.03154,0.03362,0.0993,0.16542,0.03059,0.04375,0.11205,0.12713,0.11455,0.01119,0.00095
"East Asia and Pacific",2007,5,19,"B",258286,7.42193,0.01429,0.00639,0.00464,0.02005,0.05706,0.02174,0.0026,0.08111,0.01335,0.03275,0.0341,0.10096,0.17192,0.03236,0.04402,0.11086,0.13105,0.11567,0.00403,0.00105
"East Asia and Pacific",2008,5,19,"B",296840,8.81204,0.00601,0.00501,0.00421,0.01524,0.04743,0.01716,0.00256,0.06267,0.01046,0.02565,0.02667,0.0747,0.13396,0.02669,0.03373,0.07594,0.09365,0.08592,0.25206,0.00028
