"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","Measles","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,5,9,"B",870327,7.15447,0.06634,0.02203,0.05933,0.04218,0.12167,0.09399,0.15459,0.02197,0.04624,0.0346,0.13254,0.06121,0.04726,0.09088,0.00071,0.00447
"World",2001,5,9,"B",844187,6.99072,0.07024,0.02424,0.05899,0.04334,0.12314,0.09722,0.15185,0.02215,0.04585,0.03484,0.12719,0.05963,0.04726,0.08898,0.00266,0.00243
"World",2002,5,9,"B",811339,6.73822,0.06147,0.02621,0.05934,0.04527,0.12514,0.09924,0.15232,0.02297,0.04596,0.03581,0.12526,0.06008,0.0478,0.08953,0.00075,0.00285
"World",2003,5,9,"B",800591,6.63903,0.06731,0.02718,0.05841,0.04554,0.12213,0.10033,0.14853,0.02344,0.04437,0.03601,0.12123,0.05939,0.04734,0.08796,0.00435,0.00648
"World",2004,5,9,"B",798470,6.59678,0.06506,0.02742,0.05715,0.04458,0.11679,0.09997,0.14337,0.0235,0.04203,0.03587,0.11675,0.05864,0.04657,0.08601,0.03041,0.0059
"World",2005,5,9,"B",751619,6.19586,0.06201,0.02913,0.05931,0.0459,0.11801,0.10147,0.14723,0.02477,0.04222,0.03744,0.12013,0.06105,0.04795,0.08888,0.0084,0.0061
"World",2006,5,9,"B",731972,6.01624,0.05858,0.02965,0.06031,0.0462,0.11669,0.10124,0.14774,0.0255,0.04157,0.03848,0.12089,0.06194,0.04887,0.09039,0.00179,0.01017
"World",2007,5,9,"B",694541,5.6871,0.03593,0.03053,0.06177,0.04808,0.11719,0.10428,0.15194,0.02706,0.04163,0.04034,0.12339,0.06371,0.05018,0.09278,0.00172,0.00946
"World",2008,5,9,"B",694241,5.66061,0.03798,0.02947,0.06061,0.04648,0.11182,0.10057,0.14815,0.027,0.03926,0.03953,0.11845,0.06001,0.04719,0.08841,0.03922,0.00588
"World",2009,5,9,"B",660515,5.36106,0.04956,0.02966,0.06335,0.04731,0.11157,0.10419,0.15209,0.02926,0.03889,0.04271,0.11978,0.06481,0.04998,0.09041,0.00086,0.00558
"World",2010,5,9,"B",650382,5.25253,0.03642,0.02866,0.06163,0.0467,0.1081,0.10284,0.15047,0.02934,0.03722,0.04382,0.11687,0.06466,0.04933,0.08849,0.03143,0.00401
"World",2011,5,9,"B",617019,4.95129,0.044,0.02899,0.06325,0.04781,0.10974,0.1026,0.15476,0.03056,0.03758,0.04591,0.11957,0.06661,0.0508,0.09081,0.00142,0.00557
"World",2012,5,9,"B",595321,4.74006,0.03018,0.02868,0.06386,0.04788,0.10957,0.10099,0.15735,0.03119,0.03707,0.04772,0.12124,0.06685,0.05176,0.09188,0.00059,0.0132
"World",2013,5,9,"B",582237,4.59535,0.02917,0.02774,0.06421,0.04726,0.10756,0.09758,0.15839,0.03132,0.03623,0.04895,0.12237,0.06601,0.05191,0.09185,0.0013,0.01815
"World",2014,5,9,"B",573983,4.4903,0.03402,0.0263,0.06318,0.04688,0.10463,0.09357,0.15979,0.03143,0.03488,0.04952,0.12297,0.06473,0.0521,0.0906,0.00083,0.02457
"World",2015,5,9,"B",558706,4.33631,0.03409,0.02469,0.06365,0.04649,0.10298,0.09455,0.16048,0.03192,0.03388,0.05094,0.12431,0.06466,0.05265,0.09026,0.00192,0.02254
"World",2016,5,9,"B",545928,4.20313,0.03296,0.02278,0.0645,0.04567,0.10149,0.09609,0.16291,0.0326,0.03284,0.05184,0.12658,0.06464,0.05305,0.08907,0.00084,0.02214
"World",2017,5,9,"B",531275,4.06145,0.02784,0.02078,0.0651,0.04548,0.10136,0.0972,0.16602,0.03355,0.03235,0.05339,0.12934,0.06473,0.05373,0.08922,0.0012,0.0187
"World",2018,5,9,"B",525078,3.99021,0.03815,0.01821,0.06565,0.04412,0.10057,0.09594,0.16772,0.03373,0.03165,0.05416,0.1295,0.06426,0.05394,0.08852,0.00139,0.01251
"World",2019,5,9,"B",516971,3.90975,0.0421,0.01615,0.06548,0.04327,0.09987,0.09659,0.16822,0.03396,0.03119,0.05503,0.13099,0.064,0.05414,0.08855,0.00064,0.00983
"East Asia and Pacific",2000,5,9,"B",120010,3.50863,0.04919,0.00302,0.04415,0.05584,0.06342,0.0053,0.10604,0.04205,0.03448,0.07761,0.14461,0.16004,0.09089,0.12078,0.00201,0.00056
"East Asia and Pacific",2001,5,9,"B",111381,3.3818,0.05506,0.00497,0.04342,0.05843,0.06458,0.00492,0.10342,0.04164,0.0351,0.07739,0.14517,0.15455,0.08861,0.12061,0.00174,0.0004
"East Asia and Pacific",2002,5,9,"B",102561,3.19126,0.04401,0.00592,0.04295,0.06101,0.06506,0.00511,0.10386,0.04253,0.03559,0.079,0.14665,0.1536,0.08862,0.12369,0.00172,0.00067
"East Asia and Pacific",2003,5,9,"B",96399,3.02898,0.04453,0.00593,0.04162,0.06338,0.06357,0.00541,0.10286,0.04318,0.03539,0.08047,0.14494,0.15208,0.08871,0.12582,0.00138,0.00073
