"ISO3","Year","AgeLow","AgeUp","Sex","Quantile","Deaths","Qx"
"AFG",2000,5,9,"B","Lower",4211,6.37591
"AFG",2000,5,9,"B","Point",5116,7.74569
"AFG",2000,5,9,"B","Upper",6176,9.34554
"AFG",2001,5,9,"B","Lower",5017,7.31928
"AFG",2001,5,9,"B","Point",5883,8.57894
"AFG",2001,5,9,"B","Upper",6913,10.07057
"AFG",2002,5,9,"B","Lower",3930,5.47537
"AFG",2002,5,9,"B","Point",4680,6.51651
"AFG",2002,5,9,"B","Upper",5590,7.77921
"AFG",2003,5,9,"B","Lower",3288,4.35906
"AFG",2003,5,9,"B","Point",3880,5.14067
"AFG",2003,5,9,"B","Upper",4574,6.0566
"AFG",2004,5,9,"B","Lower",3435,4.35033
"AFG",2004,5,9,"B","Point",4058,5.13637
"AFG",2004,5,9,"B","Upper",4791,6.06089
"AFG",2005,5,9,"B","Lower",3823,4.66796
"AFG",2005,5,9,"B","Point",4463,5.44565
"AFG",2005,5,9,"B","Upper",5383,6.56609
"AFG",2006,5,9,"B","Lower",4806,5.6381
"AFG",2006,5,9,"B","Point",5697,6.68062
"AFG",2006,5,9,"B","Upper",6850,8.03105
"AFG",2007,5,9,"B","Lower",4355,4.94703
"AFG",2007,5,9,"B","Point",5080,5.76742
"AFG",2007,5,9,"B","Upper",6048,6.86284
"AFG",2008,5,9,"B","Lower",4576,5.06277
"AFG",2008,5,9,"B","Point",5359,5.92675
"AFG",2008,5,9,"B","Upper",6461,7.14042
"AFG",2009,5,9,"B","Lower",5024,5.42649
"AFG",2009,5,9,"B","Point",5913,6.38395
"AFG",2009,5,9,"B","Upper",7051,7.60814
"AFG",2010,5,9,"B","Lower",4751,5.00673
"AFG",2010,5,9,"B","Point",5633,5.93327
"AFG",2010,5,9,"B","Upper",6810,7.17405
"AFG",2011,5,9,"B","Lower",4965,5.12338
"AFG",2011,5,9,"B","Point",5965,6.15372
"AFG",2011,5,9,"B","Upper",7214,7.43594
"AFG",2012,5,9,"B","Lower",4515,4.55602
"AFG",2012,5,9,"B","Point",5581,5.62828
"AFG",2012,5,9,"B","Upper",6846,6.90082
"AFG",2013,5,9,"B","Lower",3354,3.30957
"AFG",2013,5,9,"B","Point",4163,4.10633
"AFG",2013,5,9,"B","Upper",5309,5.23286
"AFG",2014,5,9,"B","Lower",3044,2.94733
"AFG",2014,5,9,"B","Point",3838,3.71484
"AFG",2014,5,9,"B","Upper",4972,4.81029
"AFG",2015,5,9,"B","Lower",2772,2.64806
"AFG",2015,5,9,"B","Point",3629,3.4639
"AFG",2015,5,9,"B","Upper",4857,4.63439
"AFG",2016,5,9,"B","Lower",2229,2.09746
"AFG",2016,5,9,"B","Point",3107,2.9216
"AFG",2016,5,9,"B","Upper",4102,3.85484
"AFG",2017,5,9,"B","Lower",2071,1.9297
"AFG",2017,5,9,"B","Point",3128,2.91307
"AFG",2017,5,9,"B","Upper",4310,4.01208
"AFG",2018,5,9,"B","Lower",2012,1.86559
"AFG",2018,5,9,"B","Point",3227,2.99158
"AFG",2018,5,9,"B","Upper",4334,4.01649
"AFG",2019,5,9,"B","Lower",1302,1.20446
"AFG",2019,5,9,"B","Point",2458,2.27241
"AFG",2019,5,9,"B","Upper",3269,3.02086
"AGO",2000,5,9,"B","Lower",11629,22.85577
"AGO",2000,5,9,"B","Point",15758,30.84644
"AGO",2000,5,9,"B","Upper",21536,41.935
"AGO",2001,5,9,"B","Lower",11739,22.36033
"AGO",2001,5,9,"B","Point",15976,30.31066
"AGO",2001,5,9,"B","Upper",21854,41.22215
"AGO",2002,5,9,"B","Lower",11949,22.0511
"AGO",2002,5,9,"B","Point",16119,29.63628
