"Region","Year","AgeLow","AgeUp","Sex","Quantile","Deaths","Qx"
"World",2000,5,9,"B","Lower",848950,6.97943
"World",2000,5,9,"B","Point",870327,7.15447
"World",2000,5,9,"B","Upper",898187,7.383
"World",2001,5,9,"B","Lower",823502,6.81984
"World",2001,5,9,"B","Point",844187,6.99072
"World",2001,5,9,"B","Upper",870573,7.20844
"World",2002,5,9,"B","Lower",791470,6.57362
"World",2002,5,9,"B","Point",811339,6.73822
"World",2002,5,9,"B","Upper",836360,6.94523
"World",2003,5,9,"B","Lower",781049,6.47739
"World",2003,5,9,"B","Point",800591,6.63903
"World",2003,5,9,"B","Upper",825948,6.84848
"World",2004,5,9,"B","Lower",779964,6.44423
"World",2004,5,9,"B","Point",798470,6.59678
"World",2004,5,9,"B","Upper",823292,6.80117
"World",2005,5,9,"B","Lower",733360,6.04591
"World",2005,5,9,"B","Point",751619,6.19586
"World",2005,5,9,"B","Upper",775186,6.3898
"World",2006,5,9,"B","Lower",713963,5.86858
"World",2006,5,9,"B","Point",731972,6.01624
"World",2006,5,9,"B","Upper",756848,6.22021
"World",2007,5,9,"B","Lower",677294,5.54638
"World",2007,5,9,"B","Point",694541,5.6871
"World",2007,5,9,"B","Upper",720071,5.89562
"World",2008,5,9,"B","Lower",677750,5.52616
"World",2008,5,9,"B","Point",694241,5.66061
"World",2008,5,9,"B","Upper",721496,5.88198
"World",2009,5,9,"B","Lower",643843,5.22623
"World",2009,5,9,"B","Point",660515,5.36106
"World",2009,5,9,"B","Upper",685867,5.56634
"World",2010,5,9,"B","Lower",632924,5.11214
"World",2010,5,9,"B","Point",650382,5.25253
"World",2010,5,9,"B","Upper",676034,5.45943
"World",2011,5,9,"B","Lower",598479,4.80295
"World",2011,5,9,"B","Point",617019,4.95129
"World",2011,5,9,"B","Upper",643626,5.16433
"World",2012,5,9,"B","Lower",576549,4.59086
"World",2012,5,9,"B","Point",595321,4.74006
"World",2012,5,9,"B","Upper",621799,4.95023
"World",2013,5,9,"B","Lower",562350,4.43876
"World",2013,5,9,"B","Point",582237,4.59535
"World",2013,5,9,"B","Upper",609850,4.81276
"World",2014,5,9,"B","Lower",552819,4.32492
"World",2014,5,9,"B","Point",573983,4.4903
"World",2014,5,9,"B","Upper",602029,4.70905
"World",2015,5,9,"B","Lower",535713,4.15821
"World",2015,5,9,"B","Point",558706,4.33631
"World",2015,5,9,"B","Upper",587846,4.56197
"World",2016,5,9,"B","Lower",521490,4.01538
"World",2016,5,9,"B","Point",545928,4.20313
"World",2016,5,9,"B","Upper",574680,4.424
"World",2017,5,9,"B","Lower",505845,3.86729
"World",2017,5,9,"B","Point",531275,4.06145
"World",2017,5,9,"B","Upper",561489,4.29177
"World",2018,5,9,"B","Lower",498034,3.78499
"World",2018,5,9,"B","Point",525078,3.99021
"World",2018,5,9,"B","Upper",557628,4.23698
"World",2019,5,9,"B","Lower",489077,3.69907
"World",2019,5,9,"B","Point",516971,3.90975
"World",2019,5,9,"B","Upper",548836,4.1502
"East Asia and Pacific",2000,5,9,"B","Lower",111134,3.24934
"East Asia and Pacific",2000,5,9,"B","Point",120010,3.50863
"East Asia and Pacific",2000,5,9,"B","Upper",129640,3.7895
"East Asia and Pacific",2001,5,9,"B","Lower",103608,3.14622
