"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2000,10,14,"B","Deaths","Lower",0,1,1,28,0,8,10,8,21,7,9,27,0,180
"AFG",2000,10,14,"B","Deaths","Point",0,132,107,306,8,413,109,78,214,69,93,284,0,295
"AFG",2000,10,14,"B","Deaths","Upper",1,418,333,751,19,1062,277,195,531,174,222,705,0,337
"AFG",2000,10,14,"B","Fraction","Lower",0,0.00204,0.00076,0.08174,0.00214,0.01458,0.02866,0.0214,0.05909,0.01645,0.02604,0.07528,0,0.06447
"AFG",2000,10,14,"B","Fraction","Point",0.00005,0.06247,0.05069,0.14508,0.00361,0.19611,0.05166,0.03723,0.10148,0.03266,0.04412,0.13467,0,0.14017
"AFG",2000,10,14,"B","Fraction","Upper",0.00005,0.10066,0.16386,0.19306,0.00392,0.25781,0.06846,0.0513,0.12464,0.04663,0.05779,0.17019,0,0.43803
"AFG",2000,10,14,"B","Rate","Lower",0,0.00308,0.00302,0.05296,0.00153,0.01552,0.02006,0.01649,0.04047,0.01299,0.01763,0.05045,0,0.33359
"AFG",2000,10,14,"B","Rate","Point",0.00019,0.24316,0.1973,0.5647,0.01405,0.76333,0.20108,0.14491,0.395,0.12712,0.17173,0.52418,0,0.54559
"AFG",2000,10,14,"B","Rate","Upper",0.00043,0.77041,0.61244,1.38328,0.03352,1.95607,0.50871,0.35771,0.97848,0.31925,0.40879,1.29735,0,0.62135
"AFG",2001,10,14,"B","Deaths","Lower",0,3,1,45,1,16,17,13,31,10,14,48,0,214
"AFG",2001,10,14,"B","Deaths","Point",0,137,102,293,8,426,105,85,209,71,95,309,0,309
"AFG",2001,10,14,"B","Deaths","Upper",1,411,331,694,18,1046,252,201,487,167,220,729,2,350
"AFG",2001,10,14,"B","Fraction","Lower",0,0.0031,0.00068,0.08339,0.00239,0.01879,0.02862,0.02402,0.0636,0.0185,0.02698,0.09075,0,0.06957
"AFG",2001,10,14,"B","Fraction","Point",0.00005,0.06366,0.04751,0.13622,0.0036,0.19831,0.04898,0.03938,0.09738,0.0328,0.04424,0.14392,0.00017,0.14376
"AFG",2001,10,14,"B","Fraction","Upper",0.0001,0.10047,0.17247,0.18263,0.0039,0.25668,0.06497,0.05463,0.12023,0.0467,0.05721,0.17965,0.00123,0.38699
"AFG",2001,10,14,"B","Rate","Lower",0,0.00564,0.00323,0.0813,0.00223,0.02957,0.03158,0.02489,0.05593,0.019,0.02647,0.08667,0,0.38165
"AFG",2001,10,14,"B","Rate","Point",0.00019,0.24341,0.18166,0.52085,0.01376,0.75826,0.18728,0.15057,0.37234,0.12541,0.16916,0.55029,0.00065,0.54968
"AFG",2001,10,14,"B","Rate","Upper",0.00056,0.72931,0.58742,1.23125,0.03141,1.85643,0.44665,0.3568,0.86262,0.29619,0.38962,1.29291,0.00356,0.62201
"AFG",2002,10,14,"B","Deaths","Lower",0,8,1,61,2,41,22,22,48,17,22,83,85,42
"AFG",2002,10,14,"B","Deaths","Point",0,156,105,299,10,478,111,99,227,80,106,366,110,58
"AFG",2002,10,14,"B","Deaths","Upper",1,418,375,653,22,1053,236,218,486,175,227,793,129,74
"AFG",2002,10,14,"B","Fraction","Lower",0,0.00627,0.00091,0.09573,0.00389,0.02769,0.03366,0.03051,0.0756,0.02268,0.03388,0.12223,0.02472,0.0126
"AFG",2002,10,14,"B","Fraction","Point",0.00007,0.07072,0.0475,0.13574,0.00473,0.21679,0.05017,0.04503,0.10279,0.03626,0.04796,0.16606,0.04979,0.02638
"AFG",2002,10,14,"B","Fraction","Upper",0.00013,0.10697,0.19985,0.17978,0.00493,0.27355,0.06591,0.0614,0.12469,0.0513,0.0615,0.20477,0.15923,0.07611
"AFG",2002,10,14,"B","Rate","Lower",0,0.01371,0.00323,0.10463,0.00408,0.07025,0.03896,0.03884,0.08348,0.03012,0.03892,0.14229,0.14518,0.07164
"AFG",2002,10,14,"B","Rate","Point",0.00026,0.2657,0.17846,0.50998,0.01777,0.81448,0.18849,0.16918,0.38618,0.13623,0.18019,0.62389,0.18706,0.09911
"AFG",2002,10,14,"B","Rate","Upper",0.00069,0.70966,0.63804,1.11077,0.03698,1.79247,0.40139,0.3699,0.82595,0.29658,0.38505,1.34941,0.22005,0.12614
"AFG",2003,10,14,"B","Deaths","Lower",0,10,2,79,2,54,34,32,69,25,32,121,3,41
"AFG",2003,10,14,"B","Deaths","Point",0,169,117,295,8,522,114,113,245,91,115,420,8,55
"AFG",2003,10,14,"B","Deaths","Upper",1,432,373,596,15,1089,234,228,488,184,240,831,14,69
"AFG",2003,10,14,"B","Fraction","Lower",0,0.00776,0.00116,0.09814,0.00314,0.04602,0.03541,0.03518,0.08627,0.02687,0.03792,0.14451,0.00114,0.01235
