"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,10,14,"B","Deaths","Lower",5637,26560,7206,32487,28378,69730,19438,26662,84162,41623,30618,50972,649,4436
"World",2000,10,14,"B","Deaths","Point",7092,30507,11575,38815,34455,77870,22184,29796,92261,48477,34548,57247,746,4890
"World",2000,10,14,"B","Deaths","Upper",8618,36943,15214,46474,41164,92122,27815,33202,108025,55624,39376,64685,833,5048
"World",2000,10,14,"B","Fraction","Lower",0.01173,0.0554,0.0145,0.06807,0.05872,0.14586,0.04068,0.05435,0.17877,0.08687,0.06332,0.10442,0.0013,0.00863
"World",2000,10,14,"B","Fraction","Point",0.01446,0.0622,0.0236,0.07914,0.07025,0.15877,0.04523,0.06075,0.18811,0.09884,0.07044,0.11672,0.00152,0.00997
"World",2000,10,14,"B","Fraction","Upper",0.01721,0.07222,0.03038,0.09065,0.08181,0.17574,0.05305,0.06617,0.20428,0.10946,0.07762,0.12804,0.0017,0.01069
"World",2000,10,14,"B","Rate","Lower",0.0453,0.21306,0.05764,0.26015,0.22768,0.56009,0.15568,0.21352,0.67518,0.33317,0.24492,0.40844,0.00519,0.03559
"World",2000,10,14,"B","Rate","Point",0.0567,0.24391,0.09254,0.31033,0.27547,0.62259,0.17736,0.23822,0.73764,0.38759,0.27622,0.4577,0.00596,0.0391
"World",2000,10,14,"B","Rate","Upper",0.06926,0.29547,0.12215,0.37252,0.33121,0.73655,0.22242,0.26553,0.86377,0.44508,0.3156,0.51776,0.00668,0.0404
"World",2001,10,14,"B","Deaths","Lower",7099,26302,7105,32134,29398,67550,18533,26747,80564,40001,29894,51431,2451,2002
"World",2001,10,14,"B","Deaths","Point",8798,30128,11485,38296,35364,75477,21182,29576,88006,46205,33648,57781,2562,2231
"World",2001,10,14,"B","Deaths","Upper",10916,36310,15118,45530,41929,88499,26433,32671,101898,52673,38217,65139,2682,2346
"World",2001,10,14,"B","Fraction","Lower",0.01491,0.05534,0.01469,0.06865,0.06234,0.14448,0.03963,0.05542,0.17375,0.08484,0.06318,0.10797,0.00479,0.00403
"World",2001,10,14,"B","Fraction","Point",0.0183,0.06267,0.02389,0.07966,0.07356,0.157,0.04406,0.06152,0.18306,0.09611,0.06999,0.12019,0.00533,0.00464
"World",2001,10,14,"B","Fraction","Upper",0.02205,0.07206,0.03133,0.09121,0.08518,0.17259,0.05145,0.06676,0.19783,0.10559,0.07698,0.13174,0.00581,0.00507
"World",2001,10,14,"B","Rate","Lower",0.05686,0.21033,0.05677,0.2571,0.23582,0.53999,0.14857,0.214,0.64431,0.31978,0.23959,0.41136,0.01961,0.01605
"World",2001,10,14,"B","Rate","Point",0.07029,0.24072,0.09176,0.30598,0.28255,0.60305,0.16924,0.23631,0.70315,0.36917,0.26884,0.46166,0.02047,0.01782
"World",2001,10,14,"B","Rate","Upper",0.0875,0.29026,0.12082,0.364,0.33615,0.70716,0.21133,0.26152,0.81418,0.42082,0.30549,0.52114,0.02148,0.0188
"World",2002,10,14,"B","Deaths","Lower",8291,26041,7114,31250,29361,64806,17754,26752,77480,38844,29277,52343,636,2549
"World",2002,10,14,"B","Deaths","Point",10260,29875,11471,37115,35074,73409,20294,29470,84659,44467,32812,58752,712,2927
"World",2002,10,14,"B","Deaths","Upper",12575,35932,14349,43969,41623,85233,24866,32423,97136,50066,36960,66269,776,3217
"World",2002,10,14,"B","Fraction","Lower",0.01771,0.05685,0.01505,0.06832,0.06315,0.14358,0.03873,0.05681,0.17047,0.08377,0.06322,0.11212,0.00131,0.00529
"World",2002,10,14,"B","Fraction","Point",0.02177,0.06339,0.02434,0.07875,0.07442,0.15576,0.04306,0.06253,0.17963,0.09435,0.06962,0.12466,0.00151,0.00621
"World",2002,10,14,"B","Fraction","Upper",0.02619,0.07338,0.03069,0.09003,0.08571,0.17094,0.04992,0.06769,0.1933,0.1032,0.07638,0.13693,0.00167,0.007
"World",2002,10,14,"B","Rate","Lower",0.06674,0.20934,0.05742,0.25137,0.23687,0.52205,0.14312,0.21511,0.62308,0.31253,0.23628,0.42125,0.00511,0.02048
"World",2002,10,14,"B","Rate","Point",0.08244,0.24005,0.09217,0.29821,0.28182,0.58984,0.16306,0.23679,0.68023,0.35729,0.26364,0.47207,0.00572,0.02352
"World",2002,10,14,"B","Rate","Upper",0.10107,0.28897,0.11535,0.35492,0.33461,0.68732,0.20028,0.26065,0.78061,0.40331,0.29731,0.53299,0.00625,0.02589
"World",2003,10,14,"B","Deaths","Lower",9373,25792,7260,29907,29831,63312,16896,26329,75012,37232,28598,52299,2798,2126
"World",2003,10,14,"B","Deaths","Point",11732,29647,11357,35312,35508,70881,19333,28927,81990,42440,31930,59055,3359,6301
"World",2003,10,14,"B","Deaths","Upper",14364,35452,14522,41919,41973,81636,23252,31812,92631,47511,35906,66607,3915,10408
"World",2003,10,14,"B","Fraction","Lower",0.02029,0.05654,0.01544,0.0658,0.06477,0.14066,0.03707,0.05631,0.16609,0.08129,0.0621,0.11363,0.00594,0.00449
"World",2003,10,14,"B","Fraction","Point",0.02508,0.06338,0.02428,0.07549,0.07591,0.15153,0.04133,0.06184,0.17528,0.09073,0.06826,0.12625,0.00718,0.01347
"World",2003,10,14,"B","Fraction","Upper",0.0297,0.07286,0.03107,0.08589,0.08685,0.16623,0.04762,0.06695,0.18706,0.09925,0.07478,0.13888,0.00856,0.02183
"World",2003,10,14,"B","Rate","Lower",0.07613,0.2094,0.05894,0.24334,0.24219,0.5152,0.13765,0.21403,0.60998,0.30252,0.23211,0.42649,0.02275,0.01735
"World",2003,10,14,"B","Rate","Point",0.09521,0.2406,0.09217,0.28658,0.28817,0.57524,0.1569,0.23476,0.6654,0.34443,0.25913,0.47927,0.02726,0.05113
"World",2003,10,14,"B","Rate","Upper",0.11667,0.28789,0.11785,0.34036,0.34075,0.66342,0.18868,0.25841,0.75183,0.38729,0.29139,0.54105,0.03189,0.08469
"World",2004,10,14,"B","Deaths","Lower",10726,25901,7044,28269,30214,60888,15945,25876,72352,35784,27816,52440,16454,1825
"World",2004,10,14,"B","Deaths","Point",13283,29370,11007,33391,35986,68207,18311,28363,79052,40615,30905,59064,22165,5513
"World",2004,10,14,"B","Deaths","Upper",15798,34911,13977,39471,42578,78169,21752,31131,88364,45327,34599,66454,27622,9252
"World",2004,10,14,"B","Fraction","Lower",0.02272,0.05541,0.01465,0.06139,0.06477,0.13197,0.03464,0.05479,0.15796,0.07742,0.05926,0.11202,0.03532,0.00386
"World",2004,10,14,"B","Fraction","Point",0.02795,0.0618,0.02316,0.07026,0.07572,0.14352,0.03853,0.05968,0.16634,0.08546,0.06503,0.12428,0.04664,0.0116
"World",2004,10,14,"B","Fraction","Upper",0.03272,0.07088,0.02992,0.07984,0.08659,0.15767,0.04388,0.06443,0.17708,0.09343,0.07103,0.13648,0.05764,0.0194
"World",2004,10,14,"B","Rate","Lower",0.08799,0.21279,0.05777,0.23192,0.24821,0.49989,0.13093,0.21254,0.59479,0.29413,0.22822,0.43128,0.13512,0.01503
"World",2004,10,14,"B","Rate","Point",0.10894,0.24087,0.09027,0.27385,0.29513,0.55939,0.15018,0.23261,0.64834,0.33309,0.25346,0.4844,0.18179,0.04521
"World",2004,10,14,"B","Rate","Upper",0.12967,0.28686,0.11472,0.32368,0.3498,0.64162,0.17851,0.25554,0.7252,0.37242,0.2838,0.54533,0.22688,0.07594
"World",2005,10,14,"B","Deaths","Lower",11739,25603,6760,26634,29381,59012,15215,25195,70700,34786,26906,51932,5089,960
"World",2005,10,14,"B","Deaths","Point",14567,29124,10665,31604,35286,66245,17522,27608,77259,39094,29815,58558,5794,5346
"World",2005,10,14,"B","Deaths","Upper",17462,34392,13371,37331,41767,75536,20547,30259,85989,43586,33244,65745,6183,10236
