"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Maternal","HIV","TB","OtherCMPN","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,15,19,"F","Deaths","Lower",16213,4260,28186,47309,23221,18438,19738,48144,8089,34674,5972,18024,23329,281,3031
"World",2000,15,19,"F","Deaths","Point",18047,5045,35496,53887,25848,20920,21425,51472,9097,36989,6725,19697,25761,321,3347
"World",2000,15,19,"F","Deaths","Upper",20356,5690,40429,64867,29336,23955,23590,55836,10278,39593,7662,21713,28912,357,3724
"World",2000,15,19,"F","Fraction","Lower",0.04886,0.01273,0.08384,0.14243,0.06977,0.05524,0.05889,0.14404,0.02401,0.1045,0.01783,0.05397,0.06967,0.00084,0.00909
"World",2000,15,19,"F","Fraction","Point",0.05402,0.0151,0.10625,0.1613,0.07737,0.06262,0.06413,0.15407,0.02723,0.11072,0.02013,0.05896,0.07711,0.00096,0.01002
"World",2000,15,19,"F","Fraction","Upper",0.06005,0.01694,0.12032,0.19123,0.08633,0.07096,0.07017,0.1653,0.03059,0.11712,0.02267,0.06436,0.08552,0.00107,0.01112
"World",2000,15,19,"F","Rate","Lower",0.29298,0.07698,0.50929,0.85485,0.41957,0.33316,0.35666,0.87003,0.14616,0.62659,0.10792,0.32566,0.42153,0.00509,0.05478
"World",2000,15,19,"F","Rate","Point",0.32608,0.09115,0.64136,0.97366,0.46703,0.378,0.38711,0.93002,0.16437,0.66834,0.12151,0.3559,0.46546,0.00579,0.06048
"World",2000,15,19,"F","Rate","Upper",0.3678,0.10282,0.73049,1.17197,0.53008,0.43281,0.4262,1.00871,0.18572,0.71533,0.13844,0.39233,0.52237,0.00645,0.06728
"World",2000,15,19,"M","Deaths","Lower",0,2649,31859,45804,23710,17199,25185,44599,44554,29920,21631,64467,38226,543,5710
"World",2000,15,19,"M","Deaths","Point",0,3044,40769,50912,25407,18364,26487,46861,46464,31720,22948,66979,40219,593,6096
"World",2000,15,19,"M","Deaths","Upper",0,3599,44366,63045,27534,19761,28084,49216,48834,33699,24501,69980,42639,649,6572
"World",2000,15,19,"M","Fraction","Lower",0,0.0062,0.07397,0.10813,0.05563,0.04035,0.0592,0.10491,0.1043,0.07015,0.05078,0.1519,0.08967,0.00127,0.01335
"World",2000,15,19,"M","Fraction","Point",0,0.00713,0.09551,0.11927,0.05952,0.04302,0.06205,0.10978,0.10885,0.07431,0.05376,0.15691,0.09422,0.00139,0.01428
"World",2000,15,19,"M","Fraction","Upper",0,0.00839,0.10385,0.14606,0.06384,0.04579,0.0649,0.11399,0.1133,0.07818,0.05673,0.16115,0.09895,0.00152,0.01527
"World",2000,15,19,"M","Rate","Lower",0,0.04562,0.54863,0.7888,0.40831,0.29619,0.43372,0.768,0.76726,0.51525,0.37251,1.11024,0.65827,0.00935,0.09834
"World",2000,15,19,"M","Rate","Point",0,0.05241,0.70205,0.87669,0.4375,0.31622,0.4561,0.80694,0.8001,0.54621,0.39516,1.15337,0.69256,0.01022,0.10496
"World",2000,15,19,"M","Rate","Upper",0,0.06197,0.76404,1.08554,0.4741,0.34026,0.48356,0.84742,0.84087,0.58024,0.42192,1.20492,0.7342,0.01118,0.11315
"World",2001,15,19,"F","Deaths","Lower",15926,4714,27744,45305,22988,18255,20011,48744,8143,35083,5985,18084,23091,881,1656
"World",2001,15,19,"F","Deaths","Point",17725,5625,34882,50633,25513,20660,21729,52079,9178,37345,6728,19722,25585,938,1793
"World",2001,15,19,"F","Deaths","Upper",19934,6275,38973,61689,28900,23507,23872,56380,10358,39968,7664,21759,28655,998,1989
"World",2001,15,19,"F","Fraction","Lower",0.04855,0.01421,0.08369,0.13694,0.0699,0.05529,0.06048,0.14736,0.02451,0.10685,0.01806,0.05464,0.07,0.00262,0.00498
"World",2001,15,19,"F","Fraction","Point",0.05369,0.01704,0.10566,0.15337,0.07728,0.06258,0.06582,0.15775,0.0278,0.11312,0.02038,0.05974,0.0775,0.00284,0.00543
"World",2001,15,19,"F","Fraction","Upper",0.05956,0.01882,0.11703,0.18359,0.08598,0.07079,0.07196,0.16899,0.03112,0.11948,0.02289,0.06538,0.08589,0.00303,0.00599
"World",2001,15,19,"F","Rate","Lower",0.28206,0.08349,0.49135,0.80239,0.4071,0.32331,0.35439,0.86332,0.14422,0.62134,0.106,0.32026,0.40895,0.0156,0.02934
"World",2001,15,19,"F","Rate","Point",0.31391,0.09963,0.61776,0.89671,0.45183,0.36589,0.38483,0.92232,0.16254,0.66138,0.11916,0.34928,0.45312,0.0166,0.03175
