"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Total","Measles","Maternal","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2000,5,19,"B","Deaths","Lower",9015,796,63,0,125,422,572,15,482,23,167,483,226,753,35,200,189,268,1199,0,1016
"AFG",2000,5,19,"B","Deaths","Point",11285,1455,121,0,344,1242,873,23,1195,41,260,663,323,1017,56,285,279,389,1571,0,1149
"AFG",2000,5,19,"B","Deaths","Upper",14199,2239,208,1,799,1757,1342,34,2325,65,386,916,461,1375,83,401,406,550,2032,0,1219
"AFG",2000,5,19,"B","Fraction","Lower",1,0.07037,0.00556,0.00002,0.01231,0.035,0.05708,0.0016,0.04731,0.00195,0.01528,0.04594,0.02325,0.07641,0.00326,0.01795,0.01901,0.02803,0.11663,0,0.08205
"AFG",2000,5,19,"B","Fraction","Point",1,0.1289,0.01069,0.00003,0.03044,0.11004,0.07737,0.00205,0.10588,0.00362,0.02305,0.05879,0.02863,0.09015,0.00493,0.02525,0.02471,0.03446,0.13919,0,0.10183
"AFG",2000,5,19,"B","Fraction","Upper",1,0.19835,0.01791,0.00006,0.06122,0.15592,0.10144,0.00249,0.18071,0.00591,0.03272,0.07338,0.0348,0.10339,0.00705,0.03383,0.03204,0.04163,0.16447,0,0.11902
"AFG",2001,5,19,"B","Deaths","Lower",9823,1360,61,0,116,379,566,16,553,25,166,470,235,755,35,199,196,278,1227,0,1093
"AFG",2001,5,19,"B","Deaths","Point",12020,2171,117,0,363,1197,847,23,1204,44,254,649,335,1002,55,283,287,393,1596,1,1199
"AFG",2001,5,19,"B","Deaths","Upper",14897,3029,200,1,779,1739,1263,34,2311,69,374,886,469,1326,81,393,419,548,2053,3,1268
"AFG",2001,5,19,"B","Fraction","Lower",1,0.11386,0.00508,0.00002,0.01086,0.03099,0.05341,0.00151,0.04967,0.002,0.01434,0.04221,0.02229,0.07045,0.00305,0.01672,0.0184,0.02637,0.11179,0,0.08213
"AFG",2001,5,19,"B","Fraction","Point",1,0.1806,0.00973,0.00004,0.03016,0.09958,0.07047,0.00194,0.10018,0.00364,0.02117,0.05398,0.02786,0.08336,0.0046,0.02353,0.02391,0.03267,0.13278,0.00009,0.09973
"AFG",2001,5,19,"B","Fraction","Upper",1,0.25029,0.01614,0.00008,0.05864,0.1434,0.09123,0.00237,0.17225,0.0058,0.02999,0.06769,0.03398,0.09647,0.00659,0.03206,0.03068,0.0397,0.1571,0.00029,0.11553
"AFG",2002,5,19,"B","Deaths","Lower",8819,408,63,0,105,391,611,22,614,30,181,505,269,824,39,218,226,315,1372,294,194
"AFG",2002,5,19,"B","Deaths","Point",10824,914,120,1,416,1234,879,31,1338,51,270,681,376,1076,60,301,326,431,1761,332,226
"AFG",2002,5,19,"B","Deaths","Upper",13445,1493,203,2,837,1793,1251,42,2428,80,387,902,513,1380,87,407,461,579,2247,364,257
"AFG",2002,5,19,"B","Fraction","Lower",1,0.03731,0.00597,0.00003,0.01128,0.03447,0.06375,0.00233,0.0604,0.00268,0.01696,0.0494,0.0287,0.08523,0.00379,0.0203,0.02338,0.03303,0.13834,0.02424,0.01673
"AFG",2002,5,19,"B","Fraction","Point",1,0.08443,0.0111,0.00005,0.03846,0.11399,0.08121,0.00286,0.12364,0.00472,0.02494,0.06291,0.03474,0.09945,0.00555,0.02782,0.03009,0.03983,0.16266,0.03067,0.02089
"AFG",2002,5,19,"B","Fraction","Upper",1,0.13676,0.01845,0.0001,0.06961,0.16867,0.10202,0.00335,0.19849,0.00753,0.03449,0.07791,0.04163,0.11243,0.00786,0.03718,0.03835,0.04776,0.18856,0.03745,0.02571
"AFG",2003,5,19,"B","Deaths","Lower",8093,0,63,0,178,444,647,16,689,35,184,510,298,880,42,226,256,336,1481,17,181
"AFG",2003,5,19,"B","Deaths","Point",10075,0,120,1,443,1326,884,22,1376,60,275,695,410,1137,62,309,365,456,1896,27,211
"AFG",2003,5,19,"B","Deaths","Upper",12501,58,203,2,873,1918,1220,30,2427,91,388,909,552,1437,89,415,502,604,2395,38,238
"AFG",2003,5,19,"B","Fraction","Lower",1,0,0.00639,0.00004,0.01879,0.04454,0.07146,0.00187,0.07119,0.00342,0.01853,0.05434,0.03382,0.09835,0.00424,0.02305,0.02865,0.03788,0.16166,0.00165,0.01639
"AFG",2003,5,19,"B","Fraction","Point",1,0,0.01196,0.00007,0.04398,0.13166,0.08777,0.0022,0.13656,0.00591,0.02729,0.06897,0.04069,0.11288,0.00616,0.03069,0.03621,0.04528,0.18814,0.00267,0.0209
"AFG",2003,5,19,"B","Fraction","Upper",1,0.00588,0.02004,0.00012,0.07912,0.1868,0.10762,0.00253,0.21418,0.00927,0.03797,0.08522,0.04846,0.12829,0.0087,0.04169,0.04656,0.05403,0.21689,0.004,0.02647
"AFG",2004,5,19,"B","Deaths","Lower",8408,0,63,0,202,389,649,7,699,41,185,511,317,914,42,228,281,347,1551,0,226
"AFG",2004,5,19,"B","Deaths","Point",10344,0,119,1,500,1261,871,10,1456,68,273,694,432,1180,62,309,399,467,1980,4,259
"AFG",2004,5,19,"B","Deaths","Upper",12640,274,200,3,909,1855,1162,13,2535,103,384,904,572,1467,89,415,545,611,2466,8,290
"AFG",2004,5,19,"B","Fraction","Lower",1,0,0.00615,0.00005,0.02111,0.03627,0.06938,0.00077,0.0713,0.00389,0.01801,0.053,0.03482,0.09891,0.00416,0.02255,0.03026,0.03769,0.16565,0.00008,0.01975
"AFG",2004,5,19,"B","Fraction","Point",1,0,0.01152,0.00011,0.04834,0.12188,0.08424,0.00092,0.14072,0.00657,0.02638,0.06706,0.04173,0.11411,0.00602,0.02992,0.03859,0.04512,0.19139,0.00036,0.02503
