"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Total","Measles","Maternal","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,5,19,"B","Deaths","Lower",2080030,47964,16187,31018,77353,104041,136371,108080,305712,17390,47872,96832,103578,295723,53408,65555,123226,156666,193615,2149,17308
"World",2000,5,19,"B","Deaths","Point",2121733,57732,18056,34351,82132,124546,144702,116250,317199,19117,51261,101716,107826,305954,55568,68702,131420,162355,202328,2270,18226
"World",2000,5,19,"B","Deaths","Upper",2194627,68795,20367,38400,93930,128195,154976,125305,349677,21270,55491,109140,112917,324203,58265,72518,140348,169358,212492,2398,18964
"World",2000,5,19,"B","Fraction","Lower",1,0.02255,0.00758,0.01451,0.03639,0.04888,0.0643,0.05101,0.14455,0.00811,0.02243,0.04578,0.04878,0.13998,0.0249,0.03073,0.05818,0.074,0.0911,0.001,0.00809
"World",2000,5,19,"B","Fraction","Point",1,0.02721,0.00851,0.01619,0.03871,0.0587,0.0682,0.05479,0.1495,0.00901,0.02416,0.04794,0.05082,0.1442,0.02619,0.03238,0.06194,0.07652,0.09536,0.00107,0.00859
"World",2000,5,19,"B","Fraction","Upper",1,0.03236,0.00957,0.01782,0.04362,0.06047,0.07211,0.05856,0.16244,0.01,0.02596,0.05052,0.05272,0.14953,0.02748,0.03397,0.06546,0.07892,0.09932,0.00113,0.00891
"World",2001,5,19,"B","Deaths","Lower",2040092,49153,15926,34838,75004,103023,134161,109354,293553,16973,47430,94235,103127,284745,53923,65889,118641,154430,189326,7185,9103
"World",2001,5,19,"B","Deaths","Point",2078253,59293,17727,38656,79930,123760,142256,117442,302968,18704,50772,98966,107155,294551,56009,69102,126067,159922,198099,7378,9498
"World",2001,5,19,"B","Deaths","Upper",2144946,69118,19923,42720,91435,128397,152142,126376,336327,20829,54859,105827,111952,310946,58732,72788,134387,166370,208190,7550,9913
"World",2001,5,19,"B","Fraction","Lower",1,0.02353,0.00761,0.01665,0.03616,0.04918,0.06463,0.05279,0.14184,0.00809,0.02268,0.0455,0.04957,0.1376,0.02569,0.03154,0.05713,0.07442,0.09109,0.0034,0.00433
"World",2001,5,19,"B","Fraction","Point",1,0.02853,0.00853,0.0186,0.03846,0.05955,0.06845,0.05651,0.14578,0.009,0.02443,0.04762,0.05156,0.14173,0.02695,0.03325,0.06066,0.07695,0.09532,0.00355,0.00457
"World",2001,5,19,"B","Fraction","Upper",1,0.03329,0.00955,0.02043,0.04324,0.06156,0.07234,0.06037,0.15938,0.00998,0.0262,0.05023,0.0534,0.14692,0.02823,0.03488,0.06404,0.07931,0.09923,0.00365,0.00478
"World",2002,5,19,"B","Deaths","Lower",1991396,39755,15704,37907,73974,102721,130713,107510,281141,16853,46982,91847,102914,276556,53883,66041,115777,153158,187783,2090,10650
"World",2002,5,19,"B","Deaths","Point",2030301,49864,17481,42291,78024,123239,138649,115585,290983,18638,50209,96521,106794,286110,55955,69274,122752,158282,196290,2213,11167
"World",2002,5,19,"B","Deaths","Upper",2091498,63884,19624,46336,88621,126474,148322,124025,321457,20762,54039,102869,111327,301259,58675,72989,130279,164184,206559,2306,11697
"World",2002,5,19,"B","Fraction","Lower",1,0.01959,0.00768,0.01864,0.0364,0.05032,0.06464,0.05315,0.13919,0.00824,0.023,0.04543,0.05063,0.13682,0.02633,0.03239,0.05708,0.07545,0.09243,0.00102,0.00519
"World",2002,5,19,"B","Fraction","Point",1,0.02456,0.00861,0.02083,0.03843,0.0607,0.06829,0.05693,0.14332,0.00918,0.02473,0.04754,0.0526,0.14092,0.02756,0.03412,0.06046,0.07796,0.09668,0.00109,0.0055
"World",2002,5,19,"B","Fraction","Upper",1,0.03128,0.00963,0.02262,0.04339,0.06235,0.07219,0.06063,0.15589,0.01023,0.0265,0.05013,0.05445,0.14576,0.02884,0.03589,0.06361,0.08033,0.1006,0.00114,0.00576
"World",2003,5,19,"B","Deaths","Lower",1979755,42916,15534,41258,72291,101773,125520,108000,271538,16955,46680,88947,102430,270418,53084,66459,112828,151158,186050,9793,16528
"World",2003,5,19,"B","Deaths","Point",2018095,53883,17255,45811,76405,121550,133093,115839,280313,18768,49867,93619,106293,279668,55195,69725,119290,155979,194363,10373,20786
"World",2003,5,19,"B","Deaths","Upper",2074738,66629,19322,50145,86947,123786,142200,124339,309330,20887,53586,99497,110645,293436,57923,73281,126599,161801,204372,11046,25818
"World",2003,5,19,"B","Fraction","Lower",1,0.02115,0.00762,0.02041,0.03596,0.05021,0.06243,0.05364,0.13517,0.00838,0.02299,0.04429,0.05075,0.13458,0.02614,0.03283,0.05595,0.07481,0.09221,0.00481,0.00822
"World",2003,5,19,"B","Fraction","Point",1,0.0267,0.00855,0.0227,0.03786,0.06023,0.06595,0.0574,0.1389,0.0093,0.02471,0.04639,0.05267,0.13858,0.02735,0.03455,0.05911,0.07729,0.09631,0.00514,0.0103
"World",2003,5,19,"B","Fraction","Upper",1,0.0329,0.00957,0.02464,0.04273,0.06115,0.06953,0.06102,0.15132,0.01033,0.02642,0.04876,0.05451,0.14334,0.02859,0.03625,0.06202,0.07957,0.10022,0.00546,0.01273
"World",2004,5,19,"B","Deaths","Lower",1989453,41232,15195,44320,71134,98406,119641,108048,261674,16993,45891,85788,101798,263555,51991,66649,110614,148885,183712,60647,14694
"World",2004,5,19,"B","Deaths","Point",2031796,51953,16925,48987,75014,117864,126642,115812,270452,18774,49068,90171,105471,272444,54046,69792,116483,153523,192147,67618,18672
"World",2004,5,19,"B","Deaths","Upper",2087305,63673,18953,53343,85372,120489,135116,124514,298330,20852,52693,95456,109816,284364,56734,73264,123133,159130,201962,74996,23192
"World",2004,5,19,"B","Fraction","Lower",1,0.02017,0.00744,0.02183,0.03504,0.04815,0.05928,0.05321,0.12954,0.00832,0.02245,0.04229,0.0501,0.13017,0.02542,0.03263,0.05428,0.07325,0.09045,0.02997,0.00723
"World",2004,5,19,"B","Fraction","Point",1,0.02557,0.00833,0.02411,0.03692,0.05801,0.06233,0.057,0.13311,0.00924,0.02415,0.04438,0.05191,0.13409,0.0266,0.03435,0.05733,0.07556,0.09457,0.03328,0.00919
"World",2004,5,19,"B","Fraction","Upper",1,0.03115,0.00931,0.02606,0.04159,0.05913,0.06562,0.06072,0.1452,0.01026,0.02584,0.04659,0.05366,0.13826,0.02786,0.03604,0.06009,0.07774,0.09848,0.03664,0.01144
"World",2005,5,19,"B","Deaths","Lower",1894596,37784,14924,46386,69431,95078,113627,103806,254005,16853,45327,82831,99872,258480,51954,65667,108041,145977,180868,16190,12222
"World",2005,5,19,"B","Deaths","Point",1931385,46604,16610,51143,73702,113778,120306,111557,262726,18619,48497,86990,103445,267323,54021,68854,113546,150532,189121,16938,17073
"World",2005,5,19,"B","Deaths","Upper",1984712,56579,18613,55615,84390,116358,128361,120239,288779,20783,51987,91952,107668,278775,56745,72243,119868,155882,198762,17410,22792
"World",2005,5,19,"B","Fraction","Lower",1,0.01959,0.00768,0.0241,0.03598,0.04888,0.05926,0.05403,0.13232,0.00868,0.02337,0.04299,0.05167,0.13429,0.02671,0.03382,0.05589,0.07557,0.0936,0.00832,0.00633
"World",2005,5,19,"B","Fraction","Point",1,0.02413,0.0086,0.02648,0.03816,0.05891,0.06229,0.05776,0.13603,0.00964,0.02511,0.04504,0.05356,0.13841,0.02797,0.03565,0.05879,0.07794,0.09792,0.00877,0.00884
"World",2005,5,19,"B","Fraction","Upper",1,0.02922,0.00962,0.02864,0.04328,0.06003,0.06553,0.06159,0.14792,0.01071,0.02686,0.04727,0.05534,0.14255,0.02926,0.03734,0.06158,0.08027,0.10196,0.00903,0.01182
"World",2006,5,19,"B","Deaths","Lower",1861147,33958,14741,47490,68895,92027,109534,101340,249582,16940,45352,81184,98805,256905,51995,65146,105509,144987,179638,4147,19354
"World",2006,5,19,"B","Deaths","Point",1899912,42881,16377,52381,73185,110024,115781,109093,257970,18676,48467,85211,102386,265304,54128,68302,111012,149561,187825,4275,27055
"World",2006,5,19,"B","Deaths","Upper",1954432,54785,18326,57560,82908,112478,123256,118057,285242,20850,52007,90006,106606,276455,56852,71611,117315,154892,197369,4405,36895
"World",2006,5,19,"B","Fraction","Lower",1,0.01779,0.00769,0.025,0.03643,0.04805,0.05805,0.0536,0.13165,0.00884,0.02373,0.04276,0.05198,0.13547,0.02722,0.03413,0.0556,0.07623,0.09457,0.00215,0.01016
"World",2006,5,19,"B","Fraction","Point",1,0.02257,0.00862,0.02757,0.03852,0.05791,0.06094,0.05742,0.13578,0.00983,0.02551,0.04485,0.05389,0.13964,0.02849,0.03595,0.05843,0.07872,0.09886,0.00225,0.01424
