"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Measles","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2000,5,9,"B","Deaths","Lower",796,0,27,18,442,12,39,23,130,75,269,81,83,802,0,358
"AFG",2000,5,9,"B","Deaths","Point",1455,0,212,310,567,16,85,41,212,113,388,132,137,1049,0,398
"AFG",2000,5,9,"B","Deaths","Upper",2239,1,497,574,719,19,233,65,312,162,519,204,209,1353,0,436
"AFG",2000,5,9,"B","Fraction","Lower",0.16572,0,0.00538,0.0035,0.08933,0.00264,0.00757,0.00467,0.02547,0.01484,0.05425,0.01606,0.01671,0.16138,0,0.064
"AFG",2000,5,9,"B","Fraction","Point",0.28432,0.00003,0.04141,0.06066,0.11088,0.00303,0.01668,0.00799,0.04139,0.0221,0.07591,0.02583,0.02678,0.2051,0,0.07789
"AFG",2000,5,9,"B","Fraction","Upper",0.39169,0.00009,0.09696,0.11319,0.13293,0.00342,0.04993,0.01255,0.06004,0.03094,0.10069,0.03935,0.03981,0.25435,0,0.09466
"AFG",2000,5,9,"B","Rate","Lower",1.20694,0,0.04119,0.02809,0.67066,0.01956,0.06047,0.03552,0.19722,0.11449,0.4088,0.12314,0.12601,1.21623,0,0.54213
"AFG",2000,5,9,"B","Rate","Point",2.20225,0.00023,0.32075,0.46985,0.85884,0.02347,0.1292,0.06189,0.32059,0.17118,0.58798,0.20007,0.20743,1.58864,0,0.60331
"AFG",2000,5,9,"B","Rate","Upper",3.38795,0.00065,0.75204,0.86742,1.08804,0.02827,0.35248,0.09718,0.47186,0.24418,0.78517,0.30745,0.31529,2.04686,0,0.66015
"AFG",2001,5,9,"B","Deaths","Lower",1360,0,34,17,435,13,41,25,126,81,264,86,86,810,0,403
"AFG",2001,5,9,"B","Deaths","Point",2171,0,226,303,554,16,91,44,206,120,381,140,140,1052,0,441
"AFG",2001,5,9,"B","Deaths","Upper",3029,1,500,545,699,19,315,69,304,170,504,213,212,1344,2,480
"AFG",2001,5,9,"B","Fraction","Lower",0.25035,0,0.00591,0.00307,0.07622,0.00228,0.00657,0.00435,0.02168,0.01384,0.04671,0.01504,0.01513,0.13993,0,0.06294
"AFG",2001,5,9,"B","Fraction","Point",0.36899,0.00003,0.03836,0.05146,0.09419,0.00264,0.01545,0.00743,0.03504,0.02033,0.0648,0.02374,0.02379,0.17876,0.00007,0.07492
"AFG",2001,5,9,"B","Fraction","Upper",0.46518,0.0001,0.08341,0.09533,0.1116,0.00298,0.05885,0.01137,0.05009,0.02828,0.0843,0.03551,0.03582,0.21991,0.00035,0.09032
"AFG",2001,5,9,"B","Rate","Lower",1.9842,0,0.05035,0.02552,0.63489,0.01898,0.06034,0.03713,0.18412,0.11817,0.38602,0.12586,0.12566,1.18221,0,0.5874
"AFG",2001,5,9,"B","Rate","Point",3.16554,0.00026,0.32909,0.44147,0.80805,0.02265,0.13254,0.06374,0.30061,0.17441,0.55592,0.20366,0.20409,1.53357,0.0006,0.64273
"AFG",2001,5,9,"B","Rate","Upper",4.41565,0.00081,0.72814,0.79367,1.01779,0.02701,0.45893,0.0993,0.44179,0.24783,0.73369,0.30933,0.30883,1.95917,0.00292,0.69984
"AFG",2002,5,9,"B","Deaths","Lower",408,0,33,17,462,17,49,30,133,94,291,101,95,894,107,66
"AFG",2002,5,9,"B","Deaths","Point",914,0,260,315,580,20,105,51,216,137,412,162,154,1144,127,82
"AFG",2002,5,9,"B","Deaths","Upper",1493,1,548,596,722,25,223,80,316,192,542,245,232,1447,148,101
"AFG",2002,5,9,"B","Fraction","Lower",0.09074,0,0.00677,0.00378,0.10341,0.00397,0.01031,0.00649,0.02904,0.02015,0.06489,0.02215,0.02131,0.1984,0.02136,0.01358
"AFG",2002,5,9,"B","Fraction","Point",0.19526,0.00005,0.05564,0.06722,0.12389,0.00438,0.02246,0.01092,0.04614,0.02921,0.0881,0.03471,0.03281,0.24449,0.0271,0.01761
"AFG",2002,5,9,"B","Fraction","Upper",0.29189,0.00015,0.11131,0.13227,0.14602,0.00477,0.04969,0.01665,0.06606,0.04011,0.11388,0.05151,0.04912,0.29638,0.0341,0.02297
"AFG",2002,5,9,"B","Rate","Lower",0.56822,0,0.04623,0.02469,0.64357,0.0243,0.06835,0.04194,0.18534,0.13097,0.40649,0.14087,0.13306,1.24506,0.14896,0.09189
"AFG",2002,5,9,"B","Rate","Point",1.27241,0.00033,0.36258,0.43804,0.80733,0.02854,0.14636,0.07116,0.30067,0.19035,0.5741,0.22619,0.21381,1.59322,0.1766,0.11476
"AFG",2002,5,9,"B","Rate","Upper",2.07826,0.0009,0.76264,0.82904,1.00434,0.03352,0.31018,0.11004,0.43918,0.26724,0.75344,0.34071,0.32187,2.01318,0.20604,0.14063
"AFG",2003,5,9,"B","Deaths","Lower",0,0,39,21,476,12,52,35,135,106,318,119,104,962,4,60
"AFG",2003,5,9,"B","Deaths","Point",0,0,274,354,589,15,117,60,221,153,443,188,163,1219,9,76
"AFG",2003,5,9,"B","Deaths","Upper",58,1,573,638,722,17,191,91,321,210,573,278,244,1508,16,93
"AFG",2003,5,9,"B","Fraction","Lower",0,0,0.01057,0.00561,0.12949,0.00352,0.01335,0.00937,0.03645,0.02778,0.08591,0.03211,0.0279,0.26413,0.00099,0.01513
"AFG",2003,5,9,"B","Fraction","Point",0,0.00007,0.07062,0.09111,0.15178,0.00376,0.03018,0.01535,0.05687,0.03931,0.11415,0.04856,0.04213,0.3141,0.0024,0.01959
