"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Measles","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,5,9,"B","Deaths","Lower",47964,15950,47003,27277,99981,76321,124684,17390,37176,28469,109958,48645,38539,73610,567,3772
"World",2000,5,9,"B","Deaths","Point",57737,19173,51637,36710,105893,81802,134544,19121,40244,30113,115353,53273,41132,79095,618,3890
"World",2000,5,9,"B","Deaths","Upper",68795,22492,60188,42457,112931,88314,151495,21270,43844,31995,121534,58670,44167,85149,665,4009
"World",2000,5,9,"B","Fraction","Lower",0.0552,0.01845,0.05395,0.03122,0.11561,0.08809,0.14372,0.01982,0.04273,0.03267,0.12615,0.05552,0.04405,0.0844,0.00064,0.00428
"World",2000,5,9,"B","Fraction","Point",0.06634,0.02203,0.05933,0.04218,0.12167,0.09399,0.15459,0.02197,0.04624,0.0346,0.13254,0.06121,0.04726,0.09088,0.00071,0.00447
"World",2000,5,9,"B","Fraction","Upper",0.07861,0.02586,0.06859,0.04853,0.12766,0.10027,0.17177,0.02425,0.04999,0.03672,0.13866,0.06718,0.05051,0.09757,0.00077,0.00464
"World",2000,5,9,"B","Rate","Lower",0.39429,0.13112,0.38641,0.22422,0.8219,0.62747,1.02503,0.14296,0.30562,0.23404,0.90402,0.39988,0.3168,0.60511,0.00466,0.031
"World",2000,5,9,"B","Rate","Point",0.47463,0.15761,0.42447,0.30178,0.87048,0.67245,1.10601,0.15718,0.33082,0.24754,0.94825,0.43793,0.33812,0.6502,0.00508,0.03198
"World",2000,5,9,"B","Rate","Upper",0.56555,0.1849,0.49477,0.34901,0.92827,0.72598,1.24535,0.17485,0.36041,0.263,0.99904,0.48231,0.36306,0.69997,0.00547,0.03296
"World",2001,5,9,"B","Deaths","Lower",49153,17134,45434,27745,98329,76622,118775,16973,35630,27752,102319,46117,37393,70119,2151,1959
"World",2001,5,9,"B","Deaths","Point",59296,20463,49799,36587,103953,82072,128190,18699,38706,29411,107372,50339,39896,75116,2246,2051
"World",2001,5,9,"B","Deaths","Upper",69118,23839,58342,41859,110557,88590,144480,20829,42058,31347,113264,55234,42773,80767,2335,2139
"World",2001,5,9,"B","Fraction","Lower",0.05824,0.0202,0.05387,0.03282,0.11716,0.09123,0.1415,0.02005,0.04231,0.0328,0.12078,0.05442,0.04415,0.08287,0.00252,0.00229
